Date,Price_10g_hist,Price_10g_mcx,Gold_Price
2021-11-03,42273.08823765814,46961.0,46961.0
2021-11-04,43022.875239121,47559.0,47559.0
2021-11-05,43159.419357950064,47959.0,47959.0
2021-11-08,43284.03555869918,48025.0,48025.0
2021-11-09,43548.28234764576,48263.0,48263.0
2021-11-10,44409.503753596866,48857.0,48857.0
2021-11-11,44374.90957609272,49208.0,49208.0
2021-11-12,44500.136640571,49277.0,49277.0
2021-11-15,44487.276351536,49269.0,49269.0
2021-11-16,44487.565708039285,49038.0,49038.0
2021-11-17,44568.42477534682,49262.0,49262.0
2021-11-18,44375.423987654125,49047.0,49047.0
2021-11-19,44383.75102480428,48829.0,48829.0
2021-11-22,43468.773610686905,47963.0,47963.0
2021-11-23,42848.20036330317,47460.0,47460.0
2021-11-24,42688.86138215956,47469.0,47469.0
2021-11-25,42832.57511212564,47444.0,47444.0
2021-11-26,43399.03869339464,47610.0,47610.0
2021-11-29,43133.827382770425,47613.0,47613.0
2021-11-30,43591.364315913,47439.0,47439.0
2021-12-01,43139.10010127478,47525.0,47525.0
2021-12-02,42541.353866928155,47307.0,47307.0
2021-12-03,42759.4322182391,47425.0,47425.0
2021-12-06,43092.80306074879,47787.0,47787.0
2021-12-07,43208.963621457384,47922.0,47922.0
2021-12-08,43249.53783336281,47900.0,47900.0
2021-12-09,43170.44705579759,47802.0,47802.0
2021-12-10,43299.757262044455,47993.0,47993.0
2021-12-13,43597.569405372386,48106.0,48106.0
2021-12-14,43448.036394617964,47895.0,47895.0
2021-12-15,43468.64500779655,47900.0,47900.0
2021-12-16,44018.29376115228,48407.0,48407.0
2021-12-17,44169.241403700544,48467.0,48467.0
2021-12-20,43746.52370312023,48130.0,48130.0
2021-12-21,43657.948462391694,47933.0,47933.0
2021-12-22,43503.07843168775,48026.0,48026.0
2021-12-23,43542.04510746379,48012.0,48012.0
2021-12-24,43542.04510746379,47982.0,47982.0
2021-12-27,43542.04510746379,47933.0,47933.0
2021-12-28,43542.04510746379,47888.0,47888.0
2021-12-29,43013.037118009226,47673.0,47673.0
2021-12-30,43238.28508045719,47746.0,47746.0
2021-12-31,43238.28508045719,47994.0,47994.0
2022-01-03,43238.28508045719,47473.0,47473.0
2022-01-04,43411.35242014564,47763.0,47763.0
2022-01-05,43615.15585062774,47974.0,47974.0
2022-01-06,42797.46652306011,47499.0,47499.0
2022-01-07,42792.51531178164,47481.0,47481.0
2022-01-10,42706.09416946646,47471.0,47471.0
2022-01-11,42899.41646438504,47694.0,47694.0
2022-01-12,43197.164306267776,47802.0,47802.0
2022-01-13,43245.71189737489,47759.0,47759.0
2022-01-14,43431.800279711286,47803.0,47803.0
2022-01-17,43412.7349012169,47908.0,47908.0
2022-01-18,43571.52732007652,47926.0,47926.0
2022-01-19,43694.375231083315,48368.0,48368.0
2022-01-20,44095.648399697784,48372.0,48372.0
2022-01-21,43900.043403475494,48243.0,48243.0
2022-01-24,43976.01556094973,48537.0,48537.0
2022-01-25,44403.26651341489,48836.0,48836.0
2022-01-26,44130.75698876332,,44130.75698876332
2022-01-27,43706.23884771811,47974.0,47974.0
2022-01-28,43128.94047293713,47652.0,47652.0
2022-01-31,43057.21221084444,47840.0,47840.0
2022-02-01,43264.4557686434,47966.0,47966.0
2022-02-02,43364.73387239378,48049.0,48049.0
2022-02-03,43064.86408282026,47884.0,47884.0
2022-02-04,43301.139743115724,48081.0,48081.0
2022-02-07,43530.14934010642,48168.0,48168.0
2022-02-08,43786.10124262543,48345.0,48345.0
2022-02-09,43956.821579565,48575.0,48575.0
2022-02-10,44356.06925265645,48867.0,48867.0
2022-02-11,44362.24219139325,49024.0,49024.0
2022-02-14,45360.650730625166,49827.0,49827.0
2022-02-15,44697.18841930972,49332.0,49332.0
2022-02-16,44927.934155320145,49546.0,49546.0
2022-02-17,45679.07148713167,50277.0,50277.0
2022-02-18,45462.279164724234,50034.0,50034.0
2022-02-21,45384.95667690131,49998.0,49998.0
2022-02-22,45632.9995016638,50186.0,50186.0
2022-02-23,45733.984921311116,50226.0,50226.0
2022-02-24,47118.52363881879,51403.0,51403.0
2022-02-25,45515.23140482582,50039.0,50039.0
2022-02-28,46386.64458983716,50530.0,50530.0
2022-03-01,46691.015480572925,51565.0,51565.0
2022-03-02,46857.90988152458,51133.0,51133.0
2022-03-03,47113.54027681772,51569.0,51569.0
2022-03-04,47780.50701689521,52274.0,52274.0
2022-03-07,49002.49168100053,53461.0,53461.0
2022-03-08,50474.83402189464,54146.0,54146.0
2022-03-09,48784.09182246371,52724.0,52724.0
2022-03-10,49034.77100647837,53183.0,53183.0
2022-03-11,48768.145064060314,52828.0,52828.0
2022-03-14,48081.18057453341,52238.0,52238.0
2022-03-15,47012.16904849936,51522.0,51522.0
2022-03-16,46877.48967158037,51105.0,51105.0
2022-03-17,47610.30109151703,51597.0,51597.0
2022-03-18,47272.396997122516,51383.0,51383.0
2022-03-21,47440.09516613885,51546.0,51546.0
2022-03-22,46865.69035639076,51219.0,51219.0
2022-03-23,47545.51738550325,51580.0,51580.0
2022-03-24,48199.49523365537,51841.0,51841.0
2022-03-25,47922.3881556738,51687.0,51687.0
2022-03-28,47397.591910878196,51442.0,51442.0
2022-03-29,46402.88070474384,50730.0,50730.0
2022-03-30,47139.64666355876,51042.0,51042.0
2022-03-31,47401.28924397576,51633.0,51633.0
2022-04-01,47112.38285080457,51264.0,51264.0
2022-04-04,46819.264712974415,51229.0,51229.0
2022-04-05,47132.89501181539,51619.0,51619.0
2022-04-06,47134.24534216407,51433.0,51433.0
2022-04-07,47170.67211085568,51681.0,51681.0
2022-04-08,47393.66952272252,51854.0,51854.0
2022-04-11,47615.02724773739,51985.0,51985.0
